branch_id,branch_name,address,city,region,manager,contact_number,opening_date
1,Branch 1,"57827 Williams Highway Apt. 026
Andrewview, ND 96116",Dianeton,Eastern,John Griffin,+1-278-999-0947x3229,2019-08-24
2,Branch 2,"6793 Joseph Bypass
South Julie, TX 49742",Kimberlyshire,Eastern,Amanda Schultz,+1-878-538-8767x88163,2019-08-10
3,Branch 3,"72464 Carter Prairie
Lake Stephanie, MT 02019",Lake Colin,Western,Danielle Hull,001-635-580-1158x755,2002-08-12
4,Branch 4,"28655 Wiley Street
South Teresa, ND 91637",Lake Robert,Southern,Alicia Flowers,001-506-346-0780x9919,2016-08-02
5,Branch 5,"026 Davila Village Apt. 023
Adamchester, ID 22582",South Karenmouth,Western,Andrew Miller,(907)674-9144x908,2017-03-16
6,Branch 6,"320 Tammy Crest Suite 037
Heatherfurt, FL 90555",South Brian,Central,Lisa Serrano,247-573-8413x42780,2015-10-01
7,Branch 7,"6654 Jonathan Springs
Lake Jennifer, ME 02581",Port Anthony,Central,Kristen Paul,830.629.9788,2019-03-22
8,Branch 8,"060 Hansen Way
New Angelaborough, MI 80243",Port Ashley,Southern,Charles Willis,001-364-645-9213,2001-11-05
9,Branch 9,"7664 Anderson Shore
North Lauren, MA 94207",Millerland,Northern,Crystal Wilson,225.982.8832,2004-11-15
10,Branch 10,"5928 Yoder Forest Suite 827
Marissabury, OR 15625",Kimberlychester,Western,Dana Diaz,721.447.6107x6631,2012-08-09
